"","year","low","central","high"
"485",2484,124140.829475278,248281.658950556,372422.488425834
"486",2485,126010.59878943,252021.19757886,378031.79636829
"487",2486,127908.529968642,255817.059937284,383725.589905926
"488",2487,129835.047177884,259670.094355767,389505.141533651
"489",2488,131790.580970761,263581.161941521,395371.742912282
"490",2489,133775.56838574,267551.136771479,401326.705157219
"491",2490,135790.453043818,271580.906087636,407371.359131455
"492",2491,137835.685247673,275671.370495347,413507.05574302
"493",2492,139911.722082295,279823.444164591,419735.166246886
"494",2493,142019.027517142,284038.055034284,426057.082551426
"495",2494,144158.07250983,288316.14501966,432474.21752949
"496",2495,146329.33511139,292658.67022278,438988.00533417
"497",2496,148533.3005731,297066.6011462,445599.901719299
"498",2497,150770.46145494,301540.92290988,452311.38436482
"499",2498,153041.31773567,306082.63547134,459123.95320701
"500",2499,155346.376924569,310692.753849138,466039.130773707
"501",2500,157686.154174859,315372.308349718,473058.462524576
